Distance (A) | State | Partition | DI | Pop(Li) | Pop(H)
        7.80 | GS    | FPIAO(1.0)   | 0.000068 | 2.999808 | 0.999965
        7.80 | GS    | FPIAO(1.5)   | 0.000059 | 2.999800 | 0.999974
        7.80 | GS    | FPIAO(2.0)   | 0.000058 | 2.999799 | 0.999975
        8.00 | GS    | Mulliken     | 0.000151 | 3.000037 | 0.999963
        8.00 | GS    | Lowdin       | 0.001305 | 3.001269 | 0.998731
        8.00 | GS    | Meta-Lowdin  | 0.000040 | 2.999992 | 1.000008
        8.00 | GS    | IAO          | 0.000038 | 2.999804 | 0.999973
        8.00 | GS    | PEIAO        | 0.000257 | 0.136441 | 0.004108
        8.00 | GS    | FPIAO(1.0)   | 0.000044 | 2.999812 | 0.999966
        8.00 | GS    | FPIAO(1.5)   | 0.000038 | 2.999807 | 0.999972
        8.00 | GS    | FPIAO(2.0)   | 0.000038 | 2.999806 | 0.999973
        8.20 | GS    | Mulliken     | 0.000125 | 3.000044 | 0.999956
        8.20 | GS    | Lowdin       | 0.001178 | 3.001150 | 0.998850
        8.20 | GS    | Meta-Lowdin  | 0.000026 | 2.999995 | 1.000005
        8.20 | GS    | IAO          | 0.000024 | 2.999809 | 0.999972
        8.20 | GS    | PEIAO        | 0.000208 | 0.136112 | 0.003670
        8.20 | GS    | FPIAO(1.0)   | 0.000029 | 2.999815 | 0.999967
        8.20 | GS    | FPIAO(1.5)   | 0.000025 | 2.999812 | 0.999971
        8.20 | GS    | FPIAO(2.0)   | 0.000024 | 2.999811 | 0.999972
        8.40 | GS    | Mulliken     | 0.000105 | 3.000048 | 0.999952
        8.40 | GS    | Lowdin       | 0.001062 | 3.001037 | 0.998963
        8.40 | GS    | Meta-Lowdin  | 0.000017 | 2.999997 | 1.000003
        8.40 | GS    | IAO          | 0.000016 | 2.999813 | 0.999971
        8.40 | GS    | PEIAO        | 0.000167 | 0.135790 | 0.003313
        8.40 | GS    | FPIAO(1.0)   | 0.000019 | 2.999818 | 0.999968
        8.40 | GS    | FPIAO(1.5)   | 0.000016 | 2.999815 | 0.999971
        8.40 | GS    | FPIAO(2.0)   | 0.000016 | 2.999815 | 0.999971
        8.60 | GS    | Mulliken     | 0.000089 | 3.000049 | 0.999952
        8.60 | GS    | Lowdin       | 0.000957 | 3.000929 | 0.999071
        8.60 | GS    | Meta-Lowdin  | 0.000011 | 2.999998 | 1.000002
        8.60 | GS    | IAO          | 0.000010 | 2.999815 | 0.999971
        8.60 | GS    | PEIAO        | 0.000134 | 0.135487 | 0.003021
        8.60 | GS    | FPIAO(1.0)   | 0.000012 | 2.999819 | 0.999969
        8.60 | GS    | FPIAO(1.5)   | 0.000010 | 2.999818 | 0.999971
        8.60 | GS    | FPIAO(2.0)   | 0.000010 | 2.999818 | 0.999971
        8.80 | GS    | Mulliken     | 0.000077 | 3.000048 | 0.999952
        8.80 | GS    | Lowdin       | 0.000859 | 3.000830 | 0.999171
        8.80 | GS    | Meta-Lowdin  | 0.000008 | 2.999999 | 1.000001
        8.80 | GS    | IAO          | 0.000006 | 2.999817 | 0.999972
        8.80 | GS    | PEIAO        | 0.000108 | 0.135210 | 0.002782
        8.80 | GS    | FPIAO(1.0)   | 0.000008 | 2.999821 | 0.999970
        8.80 | GS    | FPIAO(1.5)   | 0.000007 | 2.999820 | 0.999972
        8.80 | GS    | FPIAO(2.0)   | 0.000006 | 2.999820 | 0.999972
        9.00 | GS    | Mulliken     | 0.000066 | 3.000045 | 0.999955
        9.00 | GS    | Lowdin       | 0.000769 | 3.000737 | 0.999263
        9.00 | GS    | Meta-Lowdin  | 0.000005 | 3.000000 | 1.000000
        9.00 | GS    | IAO          | 0.000004 | 2.999819 | 0.999972
        9.00 | GS    | PEIAO        | 0.000086 | 0.134963 | 0.002586
        9.00 | GS    | FPIAO(1.0)   | 0.000005 | 2.999822 | 0.999971
        9.00 | GS    | FPIAO(1.5)   | 0.000004 | 2.999821 | 0.999972
        9.00 | GS    | FPIAO(2.0)   | 0.000004 | 2.999821 | 0.999972
        9.20 | GS    | Mulliken     | 0.000057 | 3.000042 | 0.999958
        9.20 | GS    | Lowdin       | 0.000685 | 3.000652 | 0.999348
        9.20 | GS    | Meta-Lowdin  | 0.000004 | 3.000000 | 1.000000
        9.20 | GS    | IAO          | 0.000003 | 2.999820 | 0.999973
        9.20 | GS    | PEIAO        | 0.000069 | 0.134746 | 0.002425
